14,38
27,79
18,40
28,51
8,56
21,20
13,02
5,55
26,81
22,08
15,05
6,98
20,75
22,27
11,63
24,08
6,26
21,16
24,49
4,54
16,96
15,65
10,49
24,62
29,30
23,67
15,55
10,58
11,09
27,55
29,32
19,99
11,27
9,24
14,91
16,08
7,65
27,54
23,40
21,83
23,22
28,63
18,59
10,71
29,83
5,40
21,20
14,32
18,20
5,30
28,20
22,61
26,05
22,70
5,47
13,78
11,06
23,53
22,81
15,73
26,67
29,47
27,71
6,06
20,48
12,94
21,63
12,03
18,63
22,97
12,53
28,53
24,31
7,45
9,40
6,47
26,43
14,16
15,13
19,68
4,00
5,65
22,76
29,11
10,47
27,71
11,23
27,85
4,12
25,57
26,28
13,09
6,03
30,00
21,59
25,41
9,80
17,73
19,62
18,04
22,91
24,24
27,65
10,74
23,18
8,67
17,39
12,51
12,07
12,10
25,32
21,31
24,51
21,61
18,27
12,00
4,27
21,73
24,46
25,31
4,10
29,56
7,86
23,32
12,00
18,87
16,12
4,11
23,78
20,60
20,88
6,68
20,76
17,84
13,96
23,90
13,04
27,42
8,20
21,30
11,94
13,90
23,10
23,91
25,46
6,08
15,27
24,99
18,40
15,08
29,72
16,52
23,71
27,01
14,47
26,45
12,00
15,88
7,59
23,60
9,66
26,06
14,94
21,70
27,10
21,72
22,04
15,53
22,79
7,88
13,41
10,51
20,34
5,85
24,32
22,07
4,69
14,21
6,56
5,12
13,80
24,44
28,08
18,67
27,59
8,45
5,54
28,14
8,69
20,52
13,79
4,29
13,80
16,20
25,97
24,94
21,74
23,62
5,77
17,37
29,12
9,94
7,29
12,49
4,56
28,72
18,88
25,06
29,83
20,61
11,60
12,89
10,85
14,31
20,34
17,26
29,57
29,35
19,00
28,44
21,05
20,16
6,73
19,63
20,65
5,09
20,41
9,70
10,16
29,82
16,74
6,11
5,02
18,21
24,02
8,29
19,22
7,15
10,75
10,11
28,50
29,05
13,31
10,86
23,41
27,04
22,64
11,95
14,58
22,39
5,72
23,03
20,09
4,69
7,98
18,63
6,18
21,74
29,03
16,61
12,73
16,40
15,20
4,54
26,89
17,66
21,44
10,13
15,22
27,55
12,55
12,28
27,02
6,69
5,47
12,81
25,34
7,42
10,64
17,07
22,90
6,33
8,53
10,92
26,92
13,65
8,45
22,93
23,84
21,63
15,55
25,97
8,50
17,07
25,41
7,24
24,11
23,68
11,24
20,41
